S,Q,I,Q,R,D
7668612.722804104,16702.83046617843,5372.48600468573,27394.440814926675,2701.003161162363,1462.516748937581
7668612.69466524,13112.685528453061,4410.8029704869405,30942.610231223203,3441.1158553028777,1726.0907492886408
7668612.672574609,10294.214628534408,3538.862614379815,33524.53365643459,4258.524641993171,2017.1918840442515
7668612.655232188,8081.552368565339,2808.2252229347696,35285.300302074276,5130.53045341524,2327.7364208167646
7668612.6416173875,6344.484841945847,2216.4519676486834,36383.00254711051,6038.374986800108,2651.0440391015545
7668612.630928984,4980.786619432424,1744.707944033331,36958.96244589819,6967.117949446115,2981.794112200323
7668612.622537971,3910.2048412500444,1371.5356953021137,37130.70695219718,7905.096701890356,3315.8332713842015
7668612.129062764,3854.40585795827,1028.9260855441976,35347.964264541806,10086.741457801887,3315.8332713842015
7668611.642629526,3799.4031312674038,783.162115580241,33574.76612041104,12161.192731826213,3315.8332713842015
7668611.163137765,3745.185298523713,606.6852446545587,31837.266553344398,14129.866494323636,3315.8332713842015
7668610.690488424,3691.7411592195385,479.7816623044074,30152.490926800678,15995.46249186213,3315.8332713842015
7668610.224583861,3639.0596726794556,388.34919453679026,28531.032836743678,17761.50044078913,3315.8332713842015
7668609.765327828,3587.1299557794528,322.29988619096815,26978.977565969446,19431.993992842737,3315.8332713842015
7668609.312625447,3535.9412806986616,274.41730717968363,25499.2725963831,21011.222918901873,3315.8332713842015
7668608.866383198,3485.483072703167,239.53914016479516,24092.702896558043,22503.57523598717,3315.8332713842015
7668608.426508891,3435.7449079614444,213.9724544513653,22758.583787462787,23913.439069843986,3315.8332713842015
7668607.992911657,3386.7165113909678,195.0754291866979,21495.252061210624,25245.129815166107,3315.8332713842015
7668607.565501919,3338.3877545355517,180.9581440714809,20300.413046271293,26502.84228181437,3315.8332713842015
7668607.144191381,3290.7486534729787,170.2685435827552,19171.38487404953,27690.620466126045,3315.8332713842015
7668606.728893004,3243.7893667524886,162.0393290415867,18105.26944352419,28812.339696288775,3315.8332713842015
7668606.319520997,3197.5001933616977,155.57843467839263,17099.07117039323,29871.697409181317,3315.8332713842015
7668605.915990788,3151.871570722533,150.39068098353852,16149.778591796967,30872.20989432151,3315.8332713842015
7668605.518219012,3106.8940727157596,146.1217303515804,15254.419595417765,31817.213111115263,3315.8332713842015
7668605.126123496,3062.558407733705,142.51799640199002,14410.097964881223,32709.866236099144,3315.8332713842015
7668604.739623239,3018.8554167607645,139.39796557052435,13614.016733046334,33553.15698999534,3315.8332713842015
7668604.358638396,2975.776071481304,136.63168233165266,12863.492261415044,34349.90807498848,3315.8332713842015
7668603.983090259,2933.311472414558,134.1260741767928,12155.961839000947,35102.78425276032,3315.8332713842015
